trait,collection_date,latitude,longitude
sample_1,2023-12-17,48.7362106218898,0.0658940492546196
sample_2,2023-12-17,48.8689548217136,0.325009556693106
sample_3,2023-11-23,48.6588134233665,0.00139119949885819
sample_4,2023-12-07,52.0907048310997,-9.37226418035555
sample_5,2023-11-29,52.1719289808677,-9.45392657326353
sample_6,2024-02-05,43.4232588702244,-5.05853408912529
sample_7,2024-01-29,43.3077161044218,-5.08010831928294
sample_8,2024-01-29,43.3043311547876,-5.04775681907929
sample_9,2024-01-29,43.3589138650414,-5.00763747036726
sample_10,2024-01-29,43.2310776126271,-5.03938527864998
sample_11,2024-01-09,43.2479651485515,-4.91369989518766
sample_12,2024-01-29,43.3194928513955,-4.86674382311189
sample_13,2024-01-06,53.1262723435038,-7.44424914272146
sample_14,2024-03-02,44.7257413001255,4.79393038822982
sample_15,2024-02-08,44.9764888431439,5.98587998479736
sample_16,2024-02-26,44.4933901523884,1.93063029451421
sample_17,2024-01-26,44.6658183359323,4.60011300183188
sample_18,2024-02-04,44.0085827156792,4.32409122191453
sample_19,2024-01-08,45.2585904187853,4.70485307166797
sample_20,2024-02-27,44.0504004169645,4.39671102701036
sample_21,2024-03-03,44.0000130196819,4.48273448947193
sample_22,2024-01-14,46.7014678739226,8.07411943349032
sample_23,2024-01-14,46.6381359382224,8.08285156787712
sample_24,2024-02-15,48.3666812400645,9.60484689222738
sample_25,2024-01-05,49.1963403703316,1.46126987225398
sample_26,2023-12-14,50.0055905630088,28.7326300708841
sample_27,2023-12-05,45.9274330837044,5.84245435287955
sample_28,2023-12-05,45.9749018439615,5.79592282136285
sample_29,2023-11-19,49.3745513547973,2.34842804570839
sample_30,2023-12-04,48.0806514098058,2.328860671995
sample_31,2023-12-17,47.4337252605655,1.2585388360066
sample_32,2023-11-27,47.754550123679,1.73572762825421
sample_33,2023-12-29,44.1486136814813,1.60636951379067
sample_34,2023-12-27,47.8006775792038,3.38881837111543
sample_35,2024-01-11,47.0045207935279,-0.719941289649917
sample_36,2024-02-06,44.9549212016808,3.9366068916407
sample_37,2024-02-18,45.0793959963085,4.90635385677051
sample_38,2024-01-29,45.1355418093235,5.088991690161
sample_39,2023-12-17,44.7344377957259,3.02769609276283
sample_40,2023-12-05,43.8898354833609,3.46369450744304
sample_41,2023-12-18,44.6818405333472,4.11049136834448
sample_42,2024-01-02,44.85121175909,3.09274221251647
sample_43,2024-01-08,48.7035310782855,2.2680968678728
sample_44,2024-01-03,48.7439058956376,2.24341886183375
sample_45,2023-12-18,48.7768325728596,2.33728644306607
sample_46,2023-11-16,48.9587824157508,4.91562468457106
