"trait","collection_date"
"sample_1","2023-12-17"
"sample_2","2023-12-17"
"sample_3","2023-11-23"
"sample_4","2023-12-07"
"sample_5","2023-11-29"
"sample_6","2024-02-05"
"sample_7","2024-01-29"
"sample_8","2024-01-29"
"sample_9","2024-01-29"
"sample_10","2024-01-29"
"sample_11","2024-01-09"
"sample_12","2024-01-29"
"sample_13","2024-01-06"
"sample_14","2024-03-02"
"sample_15","2024-02-08"
"sample_16","2024-02-26"
"sample_17","2024-01-26"
"sample_18","2024-02-04"
"sample_19","2024-01-08"
"sample_20","2024-02-27"
"sample_21","2024-03-03"
"sample_22","2024-01-14"
"sample_23","2024-01-14"
"sample_24","2024-02-15"
"sample_25","2024-01-05"
"sample_26","2023-12-14"
"sample_27","2023-12-05"
"sample_28","2023-12-05"
"sample_29","2023-11-19"
"sample_30","2023-12-04"
"sample_31","2023-12-17"
"sample_32","2023-11-27"
"sample_33","2023-12-29"
"sample_34","2023-12-27"
"sample_35","2024-01-11"
"sample_36","2024-02-06"
"sample_37","2024-02-18"
"sample_38","2024-01-29"
"sample_39","2023-12-17"
"sample_40","2023-12-05"
"sample_41","2023-12-18"
"sample_42","2024-01-02"
"sample_43","2024-01-08"
"sample_44","2024-01-03"
"sample_45","2023-12-18"
"sample_46","2023-11-16"
