# BEAST v10.5.0
# Generated Wed Apr 22 08:19:24 CEST 2026 [seed=1776838763727]
# Binome_8.xml
# keywords: skygrid discretized_branch_rates
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	coords_fixed.precision.col11	coords_fixed.precision.col12	coords_fixed.precision.col21	coords_fixed.precision.col22	correlation	coords_fixed.varCovar.coords_fixed.precision.col11	coords_fixed.varCovar.coords_fixed.precision.col12	coords_fixed.varCovar.coords_fixed.precision.col21	coords_fixed.varCovar.coords_fixed.precision.col22	coords_fixed.diffusionRate	treeLikelihood	branchRates	coords_fixed.traitLikelihood	skygrid
0	-85658.01099787084	-2222.4884087773576	-83435.52258909348	173.38427641706446	1850.7851224900394	871.6522816263536	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	0.3333333333333333	0.0015594189645672877	5.834211259518721	-0.017223629348360234	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	24.404394869646183	-64930.720428381646	-404.9828703297238	-18504.80216071183	-1690.7158896066233
100000	-32698.3908179463	-696.1712090583097	-32002.21960888799	18.854992435719055	2005.3144064713847	146.76027243812462	94.38290959746014	3.5911057985633223	3.5052274846864133	3.412099826985267	3.396364114500929	3.2918237902783862	3.3517035143004676	3.345422912218617	3.229921035224591	3.107557059292851	3.234880135880831	3.0328679493123047	2.929007427671174	3.069242023393309	3.071086515797628	3.1334837237661946	3.191900191612409	2.9950225852760264	2.9706861926857466	2.911025076322803	2.952649104603715	3.0	0.8825302411959388	0.25055600134679296	0.25153626384730626	0.24683952853877822	0.2510682062671226	0.4602799433775388	0.002803932161355835	0.009402377986989114	8.148936522467738E-4	1.4660870475365182	0.11084454383507528	0.0154290030850047	-4.495793069994139E-4	-4.495793069994139E-4	0.0033285548111213195	0.06273494537530014	65.06909218745581	8.78871433181009	8.78871433181009	301.61775336981793	79.09817695467953	-31830.43018045031	-404.9828703297238	-171.78942843768266	-172.94273654219703
200000	-32610.71131840697	-622.3852530283935	-31988.326065378576	7.9655734359280315	2016.2038254711758	80.44642303944765	454.7102547248609	2.7937067591098375	2.7872784682950944	2.798785079866649	2.811782012992271	2.7957105675578227	2.788933906655881	2.7760477897795472	2.8201974519842303	2.8175405822737356	2.819389576762868	2.8103038081082437	2.726312094176348	2.7293987844025245	2.667418818122383	2.670830628148385	2.664512507600457	2.6273729715624405	2.615478278006844	2.6160206944619198	2.6457300172175127	3.0	0.9362678429419146	0.24840927710504995	0.25568112058934406	0.2410592902103009	0.254850312095305	0.4585677564762639	0.007114277725248481	0.03568011419243188	0.0015351515585840382	1.6829541112080726	0.25635426034665176	0.013815050105255576	-0.0016348341524736964	-0.0016348341524736964	0.004033367265124269	0.21900981833674846	76.03170995896711	30.817733159755832	30.817733159755832	260.42306926865666	136.95760212874964	-31835.867815442565	-404.9828703297238	-152.45824993601246	-124.79451640174422
300000	-32644.10188805513	-657.4882435642469	-31986.613644490884	10.753752298470776	2013.415646608633	116.37896391329917	54.66600400841533	2.918720318239699	2.8751149558957882	2.9937972896541414	3.1114109212904206	3.1668970811881714	3.3064505774725905	3.2735979528312393	3.395798768910438	3.1181806458877546	3.0625142838310753	2.962173546517834	3.20457203259172	3.237942542846264	2.900075606463382	2.992629572005497	2.87845913460469	2.9055651414532817	2.8798398361272817	2.722236435296286	2.791472558534335	3.0	0.9779669169572195	0.24911771214467987	0.2518421794591641	0.24859144078016063	0.2504486676159951	0.43637768383129966	0.005262121568122572	0.027343091212220852	0.0010404955496102844	1.4437129675934273	0.2879247742504747	0.02723783775334571	1.2241667023288303E-4	1.2241667023288303E-4	0.0040457192108054145	-0.011661552699772738	36.718627203982365	-1.111044005681063	-1.111044005681063	247.2084586682308	90.95738049001763	-31834.526395681216	-404.9828703297238	-152.0872488096691	-169.57567892634017
400000	-32656.90929439277	-665.7868487372057	-31991.122445655565	10.741015861305456	2013.4283830457985	110.2594608997284	36.095767148329166	2.628627755389724	2.766909834383357	2.9830248472469125	3.0103156587877247	3.3278193266950225	3.290086266344228	3.4456997088275436	3.299222245711324	3.2751864265564383	3.2982373397767986	3.2667969990117176	3.0432279188707274	3.1694488441557915	3.296686449302095	3.1216546803496414	3.1785088679288633	3.3410186129724058	3.2327485340929725	3.1293588830810117	2.844589184798457	3.0	0.9993507636364365	0.24666484816789608	0.2531039578629979	0.2513123535429617	0.24891884042614384	0.6120923799401001	0.004539822789076089	0.017334776362959794	0.0010428015938995939	1.3145113684575402	0.09003904970486765	0.011612053759862807	-0.0012648505872295654	-0.0012648505872295654	0.006018591503236742	0.1512994237630958	88.13495312381903	18.522198616430625	18.522198616430625	170.04440544708592	100.29905989651601	-31836.49747099552	-404.9828703297238	-154.62497466004365	-171.2462135892946
500000	-32672.007979543527	-680.6450491258321	-31991.362930417694	20.55510454421663	2003.6142943628872	217.5372995992118	58.57836941701259	3.637136266707809	3.681301623166783	3.954211356557053	3.9985667534597646	4.058387575266915	4.201625808326984	4.101312420881427	3.820392474259936	3.9351039097527276	4.152772783365142	4.348997546017845	4.221118661138114	4.235213547341995	4.218061471480444	4.151149690400289	4.01692444378612	3.8388735688232956	3.655594286764394	3.7629715128841754	3.673845394481447	3.0	0.9705569497419939	0.24480965541497862	0.25656655553793845	0.25415502199084283	0.24446876705623985	0.7213661279590677	0.002511166662803218	0.010893404133801583	5.479232723923591E-4	1.4489627646674454	0.10879103858900654	0.015937773182589307	-4.596496356166572E-4	-4.596496356166572E-4	0.0033506091219419713	0.06290008262959966	62.993250332536505	8.64165992148837	8.64165992148837	299.63869233787125	50.735363881496994	-31833.359928891	-404.9828703297238	-158.00300152669115	-207.6341694309166
600000	-32646.87322135622	-661.8084250780764	-31985.064796278144	7.936953710128451	2016.2324451969755	87.19364696828865	10.022632649229921	2.6759073872376535	2.8216179237990273	3.175036868919759	3.3432253047314933	2.9021556962418553	3.2121722791915825	3.2957696400137255	3.524266147325272	3.1267970482863077	3.005367606120643	2.991038375739039	3.432764683626586	3.0992666674973544	2.7483918560573866	2.8878004117672753	2.5127630996487635	2.131976069970648	1.7885229271329763	1.6250875426319173	1.58365025293052	3.0	0.9116870053448733	0.2545922031233512	0.24789366590428943	0.2487999223422829	0.24871420863007632	0.5654620868717306	0.003768086879101086	0.011072732488752622	0.0013303719352395793	1.1612600129492077	0.12694541174564505	0.019595145324147988	-0.0011410121713475597	-0.0011410121713475597	0.0068609061819806475	0.09840684142377117	51.53208025748335	8.570111473477898	8.570111473477898	147.17860508763505	116.33365689216794	-31842.845602897563	-404.9828703297238	-142.21919338057978	-173.6010248910498
700000	-32625.910161705367	-640.1292660190861	-31985.780895686283	4.034011856797563	2020.1353870503062	57.57459187539184	3.805444577225715	3.0527510399248805	2.9640358612333815	2.9790789511553575	3.1876692915657143	3.1882849133445212	2.52689713573633	2.7099835838740276	3.152619135429387	3.143515774905951	3.1814962194529968	3.141893562956805	3.1964177359869446	2.291954217349317	1.6550853137610408	1.4442034123916732	1.77913501327276	1.4577401384458517	0.7270337549755189	0.2665558276615856	0.3357349695866153	3.0	0.8128103372502223	0.24595310127055264	0.25051658732270615	0.2500121403481696	0.2535181710585715	0.5998425811266683	0.0036855136556727015	0.006299227002518028	0.0021265520992127624	1.0228949731073806	0.18063276158351155	0.021555615626681773	-9.203712232934196E-4	-9.203712232934196E-4	0.005537929800289536	0.08423820282744995	46.723174434328236	7.7651156228138225	7.7651156228138225	181.863408400758	186.0763772340227	-31838.51940196891	-404.9828703297238	-147.26149371736963	-157.72376504762013
800000	-32613.237897696923	-630.2420508062539	-31982.99584689067	3.0919992040375996	2021.0773997030662	54.929707197084866	6.25007019533886	3.016266314009288	2.8409013026124246	3.097454240395357	3.600264133800854	3.0086313519543	3.0694148431951196	3.285006909185374	2.793440992515188	3.5696091177967646	2.6395889683440035	2.2496655664880816	1.1824864588474389	0.8182469128928017	1.3863595469308945	1.1365944741392553	0.6434107055695479	0.18423709826564694	0.010620711199601562	-0.5732338531528502	-0.5756095257481216	3.0	0.9779875446042455	0.24530377623104996	0.2629486541031876	0.2470459143572453	0.2447016553085175	0.4817934362027245	0.004837855257247963	0.012195287542517655	0.0022042752610674757	1.9230302634218128	-0.04144232501664438	0.012918086997948209	-3.1877673335300235E-4	-3.1877673335300235E-4	0.0063706902385827395	0.035139394111551106	77.50654595659559	3.8782741913715166	3.8782741913715166	157.1629236521337	186.10992365187914	-31835.859096174	-404.9828703297238	-147.13675071667026	-155.96924483032606
900000	-32644.67827484464	-642.814482335522	-32001.863792509117	4.038665923801113	2020.1307329833028	68.35395910869843	0.9794529496921045	3.6487135019372507	3.6293743302290116	3.5731320518902905	3.011347692413736	2.8513378805671477	3.1743118868066866	4.376503041548179	3.6918744038732343	2.558206440542783	1.8971936640295792	2.5565123760695485	2.0335411217473425	0.9823435806764325	1.7575294634244607	1.861497460573363	2.228563934091585	3.0970000898471914	3.0721740942840516	2.7838888798934014	0.2526806019329567	3.0	0.9710742359235647	0.24128032839558342	0.25205659572523637	0.25015791064274595	0.25650516523643446	0.6901205176755988	0.00421094940870488	0.008677348126084724	0.0017821402446044211	1.4359074004914947	-0.05818183968084365	0.016421358575596172	0.0010458645738977486	0.0010458645738977486	0.006392672669383827	-0.1020774181044066	61.537509826900056	-10.067761141920446	-10.067761141920446	158.07621741004945	165.99057782760727	-31838.79005140866	-404.9828703297238	-163.07374110045575	-176.94478490894886
